Restaurant,City,State,currentmonths,extramonths,asianproportion,blackproportion,hispanicproportion,whiteproportion,breakfast,lunch,dinner,latenight,busy,averagetotalbill,pcttip,bigtips,comparative_tips,flair,intro,selling,squatt,touch,jokes,repeat,customer_me,draw,smile,thanks,weather,compliment,happy,yearsexperience,effect_sz,Men,Women,Teenagers,Young_Adults,Middle_Aged_Adults,Elderly_Adults,Cash_Customers,Charge_Customers,Smokers,Regulars,First_Timers,Asians,Blacks,Hispanics,Whites,Foreigners,Couples,onetops,kids,Business_People,Extraverted_enthusiastic,Critical_quarrelsome,Dependable_selfdisciplined,Anxious_easily_upset,Open_to_new_experiences_complex,Reserved_quiet,Sympathetic_warm,Disorganized_careless,Calm_emotiolly_stable,Conventiol_uncreative,birth_yr,sex,hair,hair_other,married,race,race_other
smokey bones,VA beach,VA,16,8,5,35,10,50,No,No,Yes,0,2,15,13,25,2,1,4,4,4,1,2,2,1,1,3,1,1,2,3,7,3,2,2,1,1,3,2,2,2,2,2,3,1,1,1,2,1,2,3,2,2,5,2,7,1,5,5,4,1,6,2,1977,Female,2,NA,0,4,NA
NY J&P Pizza,Mt. Airy,MD,24,0,5,10,5,80,No,Yes,Yes,1,2,45,20,80,2,1,4,4,4,2,4,4,3,3,4,3,1,4,5,2,5,3,3,2,1,3,1,3,2,99,1,3,99,1,99,3,2,3,2,3,3,7,1,6,2,7,3,7,3,5,1,1988,Male,2,NA,0,4,NA
Cheesecake factory,arlington,VA,6,0,5,15,5,75,No,Yes,Yes,1,1,50,16,10,4,1,4,1,1,1,4,4,1,1,2,1,1,2,4,4,3,2,3,1,2,3,2,3,1,2,3,2,1,1,1,2,1,3,2,2,2,3,1,7,1,7,1,5,5,7,,1981,Female,,black,1,1,NA
Applebee's,Millbury,MA,6,24,10,10,15,65,No,No,Yes,0,2,17,18,60,3,1,4,,2,2,2,3,1,3,2,3,1,2,6,2,4,2,2,1,2,3,1,3,2,99,3,2,1,1,1,2,1,3,2,1,3,5,4,7,1,7,2,2,2,7,1,1986,Female,1,NA,0,4,NA
Trudy's North Star,Austin,TX,18,24,30,10,10,50,No,No,Yes,1,1,15,15,50,1,2,2,2,2,3,3,4,4,1,4,3,1,2,6,6,3,2,2,1,2,3,1,3,2,3,3,3,2,2,2,2,1,3,2,1,1,6,1,6,2,7,4,6,3,5,4,1982,Male,,black,0,4,NA
Chao Praya,Memphis,TN,41,6,10,2,,88,No,Yes,Yes,0,3,12,19,70,3,1,1,3,1,2,2,2,2,2,3,1,1,2,2,3,3,3,1,3,3,3,1,3,2,99,3,2,2,1,2,3,1,3,3,2,2,4,1,7,1,6,5,5,1,6,3,1981,Male,,black,0,1,NA
Lonestart Steakhouse and Saloon,Tulsa,OK,4,,0.1,10,5,81,No,Yes,Yes,0,3,,16,12,4,4,4,4,2,1,2,3,2,1,3,4,1,2,4,0.5,4,3,2,2,1,2,1,1,2,99,3,2,99,3,99,2,2,3,2,1,2,2,2,6,2,6,5,4,3,5,2,1985,Male,2,NA,0,4,NA
Gino's Italian Kitchen,Edmonton,!US,25,24,20,4,2,75,No,Yes,No,0,4,25,15,75,1,1,4,4,3,2,4,4,4,1,2,1,2,4,7,2,4,3,2,1,1,2,2,3,3,99,3,2,1,2,1,3,99,2,2,2,3,4,1,7,7,7,7,7,3,7,7,1984,Male,2,NA,0,4,NA
NA,NA,NA,,,,,,,No,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA
Saddles Steak House,Cape Town,!US,12,0,4,2,1,93,No,Yes,Yes,1,3,100,10,5,4,3,4,3,2,2,2,3,2,2,4,4,2,3,6,2,4,2,2,1,3,2,2,2,2,2,3,2,3,2,2,2,3,3,1,2,3,6,4,5,4,6,2,6,,4,4,1985,Male,1,NA,0,4,NA
Charthouse,Portland,OR,72,1,5,0.5,0.5,90,No,No,Yes,0,3,50,18,70,3,1,2,4,1,2,2,3,2,2,3,4,2,2,6,8,3,3,2,1,1,3,1,2,2,3,2,2,1,1,1,2,1,2,2,2,3,7,1,7,1,7,1,6,1,7,2,1979,Male,1,NA,0,4,NA
East Side Mario's,Toronto,!US,25,25,10,10,10,70,No,Yes,Yes,1,1,18,17,20,2,1,2,3,1,1,3,4,2,1,3,4,1,4,4,2,3,3,2,1,3,2,1,2,3,2,2,1,1,1,1,3,1,3,1,2,2,3,2,7,5,5,5,5,2,5,2,1985,Female,2,NA,0,4,NA
On The Border,Lewisville,TX,12,12,1,5,5,89,No,Yes,Yes,0,3,11,15,20,2,1,2,2,1,2,3,2,1,2,3,2,2,4,7,4,4,2,2,1,3,3,1,2,2,2,3,2,1,1,1,2,1,3,2,1,3,3,1,6,5,7,5,7,2,6,2,1984,Male,1,NA,0,4,NA
Mulligan's Pub,Fort Collins,CO,3,1,0,1,2,97,Yes,Yes,Yes,0,3,20,16,10,4,1,3,4,1,2,4,3,4,1,2,3,3,3,2,6,5,1,3,1,2,3,1,2,2,2,2,2,2,2,2,2,1,2,2,3,2,6,6,7,,7,5,6,2,3,1,1973,Female,2,NA,0,4,NA
olive garden,oakdale,MN,10,12,2,2,6,90,No,Yes,Yes,1,2,15,15,50,3,4,4,2,1,1,2,3,1,1,2,2,2,,4,6,4,2,2,1,2,2,1,1,2,3,3,2,2,2,1,3,1,3,1,1,1,5,3,7,3,4,4,7,5,5,6,1981,Male,2,NA,0,,both hispanic and white
Carlos O'Brien's,Scottsdale,AZ,3,0,0,5,15,80,No,No,Yes,0,3,15,18,50,4,1,4,3,1,1,3,2,1,1,3,1,1,3,6,1,3,3,2,1,2,3,1,2,3,99,3,2,99,99,99,99,99,3,2,2,3,7,5,6,5,6,2,6,4,6,3,1985,Male,2,NA,0,4,NA
Elmo Restaurant,NY City,NY,27,12,30,15,5,50,Yes,Yes,Yes,0,2,50,18,50,3,1,1,3,4,4,4,4,2,1,4,1,1,4,6,4,3,3,2,1,3,2,1,2,3,99,3,2,1,1,1,3,1,3,3,2,1,7,1,7,1,6,1,7,2,6,2,1980,Male,1,NA,0,4,NA
Johny's,Des Moines,IA,3,12,20,15,30,35,Yes,Yes,Yes,1,2,15,10,20,3,1,4,4,3,2,2,4,4,2,2,3,3,3,6,14,4,1,1,1,1,2,3,2,2,2,2,2,2,1,1,2,2,2,3,2,3,3,1,7,1,6,6,6,1,7,1,1969,Female,1,NA,0,2,NA
Palazzo's Italian Restaurant,Houston,TX,6,5,5,3,3,89,No,Yes,Yes,0,2,26,18,60,3,1,3,4,2,3,2,4,3,1,4,1,2,3,3,17,4,3,2,2,1,3,3,2,3,2,2,3,2,2,1,3,1,3,3,3,2,6,1,6,1,6,2,6,1,6,3,1969,Female,1,NA,0,4,NA
Alpha Deli,Melbourne,!US,6,0,10,,,90,Yes,Yes,No,0,2,20,10,5,6,4,1,3,3,1,2,4,2,3,4,3,2,4,3,2,4,3,2,1,3,1,1,2,1,3,1,1,1,1,1,2,3,1,3,2,1,6,4,2,5,7,5,6,5,2,1,1980,Male,,black,0,1,NA
Alamo Drafthouse,Austin,TX,11,12,15,15,30,40,No,No,Yes,1,2,25,13,6,4,2,4,3,2,1,4,4,2,4,3,3,2,3,6,4,3,2,2,1,1,3,1,3,2,99,2,1,2,2,2,2,2,1,3,1,2,5,3,7,2,7,4,6,1,6,4,1978,Male,3,NA,0,4,NA
Outback Steakhouse,Lewisville,TX,4,18,5,3,2,90,No,No,Yes,1,2,25,15,15,3,4,4,4,4,4,4,4,2,1,2,1,1,3,5,6,3,2,3,2,2,1,1,3,2,3,2,99,1,1,1,1,1,2,3,1,2,6,2,7,2,6,2,6,2,6,1,1984,Female,1,NA,0,4,NA
Pepe's Mexican restaurand,Mt Prospect,IL,12,0,5,5,40,50,No,Yes,Yes,0,2,25,15,20,3,1,4,3,3,2,4,4,2,1,3,4,2,1,5,3,4,3,2,1,2,3,1,3,2,3,3,2,1,1,2,3,1,3,2,1,3,7,3,5,3,6,2,6,2,6,2,1970,Male,2,NA,0,4,NA
Champps,Columbus,OH,36,0,5,30,15,50,No,Yes,Yes,1,3,13,18,20,2,2,4,4,4,1,3,3,2,2,3,3,3,3,6,6,,2,1,1,3,3,2,3,3,99,99,3,1,1,2,2,1,3,2,1,1,6,6,7,3,6,2,4,5,6,1,1982,Male,,black,0,4,NA
TGI Fridays,Dallas,TX,24,100,,40,10,50,No,Yes,Yes,0,4,12,15,50,4,1,4,3,2,1,2,3,2,1,3,1,1,3,4,2,4,2,2,1,1,3,1,99,99,99,3,2,2,1,1,2,1,2,3,1,2,6,4,7,2,6,2,5,1,6,2,1981,Male,1,NA,0,4,NA
Hoops,Toronto,!US,4,3,22,15,23,40,No,No,No,1,2,20,20,20,3,1,3,2,2,2,3,4,2,4,4,4,1,2,5,5,4,3,2,1,3,2,1,2,2,3,3,2,2,2,1,2,1,2,2,1,3,7,6,2,1,7,1,7,5,6,1,1983,Male,1,NA,0,4,NA
La Meditrerranee,San Francisco,CA,4,10,20,15,5,90,Yes,Yes,Yes,0,3,35,18,25,4,2,1,2,2,1,2,2,2,1,2,4,2,2,6,2,4,99,99,1,1,2,2,3,2,99,2,2,99,3,99,2,1,2,3,2,1,3,4,7,3,6,7,7,2,7,1,1985,Male,1,NA,0,4,NA
El Matador Steak Ranch,Kriel,!US,48,0,,20,,80,No,No,Yes,1,3,,8,5,5,2,4,3,2,2,2,4,1,1,2,1,2,2,5,6,4,3,1,1,2,2,2,2,3,2,3,2,1,1,1,2,2,3,1,2,2,4,4,5,4,5,4,4,3,4,4,1981,Male,2,NA,0,4,NA
local celtic pub,St. Louis,MO,2,9,5,2,0,93,No,Yes,Yes,1,4,17,18,40,3,1,4,3,1,2,2,1,3,1,2,4,2,4,6,7,4,3,2,1,1,2,1,3,2,2,3,2,99,1,99,2,2,1,2,2,3,6,5,6,2,7,5,7,5,7,3,1980,Male,1,NA,1,4,NA
pa grille,cincinti,OH,1,6,1,1,0,98,No,No,Yes,0,3,60,18,75,4,1,3,4,1,2,2,2,3,1,3,1,2,3,5,14,3,2,1,1,2,2,1,2,2,2,3,2,2,1,1,2,1,2,2,2,2,4,2,7,2,6,2,5,2,6,2,1976,Female,2,NA,0,4,NA
The Depot Grille,Staunton,VA,20,0,0.01,0.05,0.01,0.93,No,Yes,Yes,1,3,20,20,80,2,3,4,4,4,2,4,4,2,4,4,4,2,4,5,2,5,2,2,1,1,3,2,1,3,99,3,2,99,1,1,2,99,3,3,2,3,7,6,7,6,7,2,7,3,4,4,1985,Male,,black,0,1,NA
marinus,carmel valley,CA,59,6,15,15,5,65,No,No,Yes,0,3,100,18,10,4,1,1,3,1,1,2,2,3,1,3,1,1,2,6,15,3,3,2,1,1,1,2,2,2,2,3,2,2,1,1,2,1,2,3,2,1,7,2,7,1,7,1,6,1,6,1,1974,Male,3,NA,0,4,NA
NA,n.o.,LA,4,12,3,5,2,90,No,No,Yes,0,2,40,20,85,4,1,1,3,1,1,2,2,1,1,2,1,2,2,5,20,4,3,1,99,2,2,1,3,2,3,2,2,2,1,99,2,1,2,2,,,2,4,3,5,5,5,4,5,4,2,1965,Female,2,NA,0,4,NA
gattos,tinley park,ID,18,36,0.5,1,2.5,96,No,Yes,Yes,1,2,15,17,75,2,2,4,4,1,1,3,2,3,1,3,2,2,3,7,13,4,3,2,1,2,3,1,3,2,3,3,2,99,2,2,2,1,3,2,2,1,7,3,7,2,5,3,7,5,6,1,1975,Female,2,NA,0,4,NA
Blue Chillies,Melbourne,!US,36,6,5,0,0,95,No,No,Yes,0,3,40,5,1,4,2,1,3,3,1,2,3,3,1,4,1,2,2,6,3,2,3,1,2,2,3,1,3,2,99,2,2,1,99,99,2,3,3,1,2,3,3,2,7,4,5,5,3,3,4,3,1982,Female,,black,0,1,NA
Old Man Rafferty's,New Brunswick,NJ,1,23,10,5,30,51,No,Yes,Yes,0,3,12,13,0.5,6,1,4,3,1,1,2,2,1,1,4,2,1,3,3,1,4,2,2,1,1,3,1,2,3,99,3,2,2,2,2,2,99,2,2,2,3,7,2,7,6,7,3,7,1,6,1,1984,Male,,black,0,,hispanic/pacific islander
Apollo Bar & Grill,Thunder Bay,!US,32,0,0,0.5,0,0,No,No,No,1,2,40,15,5,1,1,4,2,3,3,3,4,3,3,3,,2,2,5,2,4,3,2,1,2,3,1,2,3,99,1,2,99,99,99,2,1,2,1,1,3,7,1,7,1,7,1,7,1,7,1,1979,Male,1,NA,1,4,NA
DSB Catering - Holmes Place,London,!US,6,0,15,25,0,60,Yes,Yes,Yes,0,3,60,5,10,4,1,3,3,1,2,2,3,3,3,3,3,2,3,3,2,2,2,2,1,2,3,3,2,3,99,3,2,2,2,99,2,1,2,1,3,3,6,3,7,3,7,2,4,2,5,2,1979,Male,1,NA,0,4,NA
Outback Steakhouse,Tempe,AZ,4,,10,20,10,60,No,No,Yes,0,3,15,15,30,4,1,4,2,3,1,2,2,1,1,2,3,1,2,4,3,4,2,2,1,2,3,1,2,2,3,3,2,2,1,2,2,1,3,2,1,2,5,1,7,3,6,4,6,5,6,3,1982,Female,,black,0,4,NA
Coral Isle,Lake Bue Vista,FL,72,0,10,30,5,50,No,Yes,Yes,1,3,100,15,20,4,1,4,2,2,1,3,3,2,1,2,3,,2,4,6,3,2,1,1,1,,1,3,2,2,3,2,1,1,2,2,1,1,2,1,3,5,4,6,4,6,1,4,2,4,5,1960,Male,2,NA,1,1,NA
Denny's,S. Burlington,VT,36,,2,6,2,90,No,No,No,1,2,8,10,2,4,4,4,2,1,1,2,2,2,1,1,1,1,2,4,4,5,3,2,1,1,2,1,3,2,3,3,2,2,1,1,3,2,3,3,2,3,5,1,5,3,6,1,5,1,4,5,1970,Female,2,NA,0,4,NA
The ELephant and Castle,Toronto,!US,11,0,25,25,,50,No,Yes,Yes,1,3,,17,25,2,1,2,2,2,2,4,3,3,1,4,4,1,2,1,7,5,3,2,1,2,2,1,2,2,3,2,2,2,2,2,2,1,3,2,1,3,6,5,7,3,6,2,5,2,5,2,1970,Male,3,NA,1,4,NA
The Bistro,Boone,NC,6,0,2,3,,95,No,No,Yes,0,2,25,18,50,4,4,4,3,1,1,4,4,2,1,3,2,1,2,5,2,3,3,2,1,3,2,1,2,2,99,3,2,99,1,99,2,1,3,3,1,2,5,2,6,3,6,5,5,5,5,2,1982,Male,2,NA,0,4,NA
Faz Restaurant,Pleasanton,CA,10,12,15,10,10,65,No,Yes,Yes,0,2,42,17,40,4,2,4,3,2,1,2,2,2,1,2,4,1,4,3,9,4,3,2,1,1,3,1,2,3,2,3,2,1,2,1,3,1,3,2,2,3,6,4,7,2,5,1,7,1,6,4,1982,Male,2,NA,0,4,NA
NA,cleveland,OH,96,4,1,8,1,90,No,No,Yes,0,2,75,18,60,1,1,3,4,1,3,3,1,3,1,2,1,1,3,5,10,3,3,2,2,2,3,2,3,2,3,3,3,2,1,2,2,2,2,3,2,3,6,2,7,2,7,1,5,1,7,2,1965,Male,3,NA,1,4,NA
Wings Plus,Boynton Beach,FL,7,24,2,25,13,60,Yes,Yes,Yes,1,4,30,15,30,2,2,4,2,2,3,3,3,3,2,3,4,2,3,6,5,4,2,2,1,2,2,1,2,3,99,3,2,2,2,2,2,2,3,2,3,3,6,2,6,1,4,2,6,1,6,1,1977,Male,1,NA,1,4,NA
Longhorn Steak House,Pottstown,PA,6,0,5,15,10,70,No,No,Yes,0,3,30,12,5,4,1,4,4,2,1,1,3,3,2,2,3,2,3,1,3,4,3,2,1,1,2,2,2,3,2,2,2,3,1,1,2,1,3,3,2,2,3,4,5,5,5,4,6,4,4,3,86,Male,1,NA,0,4,NA
NA,NA,NA,26,0,5,25,5,65,No,Yes,Yes,0,3,15,15,25,4,1,4,4,1,1,3,3,2,1,3,4,2,3,3,5,3,2,1,1,2,2,1,1,2,3,2,3,1,1,2,2,1,2,3,1,1,6,3,4,2,7,1,5,4,5,2,1978,Female,2,NA,0,4,NA
Neon Diner,Lexington,NC,24,0,3,35,2,60,No,No,Yes,0,2,15,,15,3,1,4,4,1,1,1,2,1,1,3,2,1,2,5,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA
Djon's Chophouse,Melbourne Beach,FL,84,,5,5,10,80,No,No,Yes,0,3,50,20,25,3,1,2,4,1,2,3,3,3,1,3,4,4,4,5,25,3,3,2,1,3,3,2,3,3,3,99,2,2,1,1,3,1,3,3,2,3,7,5,6,4,6,1,2,1,3,2,1959,Female,2,NA,0,4,NA
Luigi's,Newport News,VA,3,0,0,10,10,80,No,Yes,Yes,0,3,17,20,80,4,1,4,2,2,1,2,3,1,1,4,4,1,3,6,1,4,2,2,1,1,3,1,2,2,2,3,2,2,2,2,2,2,3,2,1,2,7,2,6,2,7,,5,5,5,3,1985,Male,1,NA,0,4,NA
harry's steak house,NY,NY,5,0,5,5,0,90,No,Yes,Yes,0,3,100,21,80,1,1,4,4,1,1,3,4,3,1,3,1,3,4,5,30,5,3,2,1,2,3,1,2,2,3,3,1,1,1,2,99,1,3,2,1,3,7,1,7,1,6,1,5,1,7,1,1959,Female,,black,1,3,NA
McMenmins,Portland,OR,16,0,5,1,5,89,No,No,Yes,1,3,35,10,5,4,2,2,1,2,1,1,2,1,1,1,1,2,1,4,3,3,2,3,1,2,1,1,2,3,2,3,2,2,2,3,2,1,2,3,1,2,5,3,5,2,6,3,4,1,4,1,1974,Female,1,NA,0,4,NA
Ruby Tuesday,Columbia,SC,7,3,20,20,10,50,No,Yes,Yes,0,3,13,12,2,2,1,4,3,3,2,2,3,3,2,2,3,1,3,4,2,3,2,2,1,2,2,1,2,2,99,3,2,2,1,2,2,3,2,3,1,2,5,1,2,1,7,4,5,5,4,1,1982,Female,2,NA,1,4,NA
Gringos,North Adams,MA,12,12,0,2,5,93,No,No,Yes,1,3,20,15,33,3,1,3,3,4,2,3,4,3,1,3,3,3,3,5,2,,3,3,2,2,3,1,99,3,99,3,2,99,99,99,2,1,3,2,2,2,7,4,7,6,7,2,5,5,5,2,1986,Female,2,NA,0,4,NA
Square Grouper,Cudjoe Key,FL,12,24,,,,99,No,Yes,Yes,0,1,40,20,75,4,1,4,4,1,2,3,1,3,1,4,2,1,3,1,20,4,3,2,2,2,3,1,3,2,3,3,2,99,99,,2,1,3,3,2,3,7,3,7,2,6,1,5,1,5,5,65,Male,1,NA,0,4,NA
Red Lobster,Peterborough,!US,23,4,10,5,5,80,No,Yes,Yes,0,3,16,12,10,4,1,4,4,2,2,3,2,2,1,3,1,1,3,5,2,3,2,2,2,1,2,1,3,2,99,3,2,2,2,2,2,2,3,2,2,3,6,1,4,5,5,2,7,2,4,5,1984,Male,2,NA,0,4,NA
NA,NA,NA,22,8,5,10,10,75,No,Yes,Yes,0,3,25,15,25,3,1,1,2,2,1,2,1,2,1,4,4,1,2,1,8,2,2,2,99,3,3,1,2,2,99,3,2,99,99,99,99,99,3,2,1,2,7,3,6,2,6,2,6,2,3,1,1977,Male,2,NA,1,4,NA
Red Barn,Millis,MA,36,0,1,1,1,97,No,Yes,Yes,0,4,25,20,5,3,1,4,4,1,1,1,4,3,1,3,3,1,3,6,3,4,2,1,1,1,3,2,2,3,99,3,1,1,1,1,2,1,3,2,1,2,4,1,6,4,4,5,5,2,3,3,1961,Female,2,NA,1,4,NA
Holy Mackerel Seafood Grill,Portsmouth,VA,24,,5,10,5,80,No,Yes,No,0,3,20,13,25,3,3,3,3,2,2,2,3,3,2,3,2,1,2,5,3,3,2,1,1,3,2,2,3,2,99,2,3,2,2,2,2,2,3,2,2,2,6,2,5,4,5,5,5,4,5,3,1981,Male,2,NA,1,,human
Outback Steakhouse,Tampa,FL,65,1,5,50,10,35,No,No,Yes,0,3,18,13,25,2,4,4,4,4,4,4,4,4,4,4,3,1,3,5,8,2,3,1,1,3,2,1,2,2,3,3,2,2,1,1,2,1,3,2,1,3,7,2,7,2,7,2,7,1,6,1,1981,Male,1,NA,0,4,NA
Glory Days Grill,Towson,MD,4,0,10,40,5,45,No,Yes,Yes,1,3,15,15,20,5,1,4,3,2,1,2,2,1,1,3,2,2,2,5,2,3,2,2,1,3,2,1,99,99,99,3,2,99,1,2,2,1,3,1,2,3,5,4,6,3,5,3,5,5,5,3,1985,Male,2,NA,0,4,NA
NA,Urba,ID,3,0,5,0,0,95,No,Yes,Yes,1,1,0,0,0,4,1,4,1,1,1,1,4,1,1,3,1,1,1,2,2,4,3,1,1,2,3,1,2,99,99,99,99,99,99,99,2,99,1,99,2,99,6,2,6,5,7,5,6,2,7,1,1989,Male,2,NA,0,,NA
Fagioli,Charlotte Amalie,!US,24,0,5,35,30,10,No,Yes,Yes,0,2,70,18,5,2,1,4,4,2,2,3,4,3,1,4,4,3,4,2,3,4,3,2,1,1,3,2,2,2,3,3,2,2,2,1,3,1,3,2,2,3,7,1,7,1,7,1,7,1,7,1,1973,Female,1,NA,0,4,NA
The Origil Pancake House,Brookfield,WI,24,0,10,10,5,75,Yes,Yes,No,0,2,10,23,50,3,1,3,3,2,1,2,2,1,1,4,4,1,3,5,6,4,2,2,1,1,3,1,2,1,99,3,2,2,1,2,2,1,1,1,1,3,7,2,4,2,5,2,6,2,6,2,1986,Male,2,NA,0,4,NA
O'Charley's,Knoxville,TN,12,0,0,5,5,90,No,Yes,Yes,0,3,10,13,1,6,1,4,2,2,1,2,3,1,1,3,1,1,1,3,1,3,3,2,2,2,2,1,2,2,3,99,99,99,99,99,99,99,3,2,1,2,7,3,5,3,6,1,5,3,4,,1975,Male,2,NA,0,4,NA
O'Charley's,Monroe,LA,4,0,,80,,20,No,Yes,Yes,0,3,75,10,20,3,3,4,4,1,1,2,2,2,1,3,2,2,2,2,5,1,2,2,3,2,2,1,1,2,99,3,2,99,1,99,2,99,2,3,1,3,3,1,7,2,6,3,5,2,6,2,1985,Male,2,NA,0,4,NA
NA,NA,NA,,,,,,,No,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA
Carmines Suite 160,Palm Beach Gardens,FL,15,0,0,5,0,95,No,No,Yes,0,4,75,25,75,2,1,4,4,1,1,2,3,3,1,1,1,1,3,5,10,5,3,1,1,3,2,1,2,3,3,3,2,1,1,1,2,1,3,2,1,2,4,1,6,1,5,2,5,1,7,4,1968,Female,1,NA,0,4,NA
Outback,Fort Lauderdale,FL,11,0,5,15,25,55,No,No,Yes,0,1,18,16,25,1,4,4,4,4,3,3,3,2,2,3,4,2,3,7,3,4,3,2,1,1,3,2,2,2,3,3,2,2,1,1,2,1,2,3,2,3,7,2,6,1,7,1,6,2,6,1,1968,Male,3,NA,1,4,NA
.,Hollywood,FL,35,12,3,10,40,47,No,Yes,Yes,1,3,15,18,80,3,1,2,3,1,2,2,4,3,1,3,3,1,3,6,3,4,2,2,1,3,2,1,2,2,3,3,2,1,1,1,3,1,3,2,1,2,6,3,5,2,5,3,5,3,6,1,1984,Male,2,NA,0,4,NA
Holland Farms Dairy Bar,Whitesboro,NY,12,0,3,10,3,84,Yes,Yes,No,0,2,3,10,5,5,1,2,3,1,2,3,4,3,1,4,1,2,1,5,1,1,2,1,99,3,2,1,2,99,99,2,1,99,99,99,2,99,99,2,99,3,6,1,4,2,5,2,6,3,4,1,1969,Male,1,NA,1,4,NA
Lindsays on Liberty,Peoria,IL,24,0,2,4,2,92,No,Yes,Yes,0,2,100,15,50,2,1,4,4,2,2,3,4,2,2,4,4,2,4,6,9,5,3,2,1,2,3,1,3,2,3,3,2,2,1,2,2,1,3,3,1,3,7,1,7,1,6,1,7,2,7,1,1980,Male,2,NA,0,4,NA
Chi May,Niantic,CT,15,0,1,3,1,95,No,No,Yes,1,3,25,20,60,2,2,3,2,1,1,3,4,3,1,4,2,2,3,3,3,3,2,2,2,3,2,1,3,3,99,3,3,99,99,99,99,1,3,3,2,3,6,2,7,4,7,3,5,1,4,1,1981,Male,2,NA,0,4,NA
Murphy's,Atlanta,GA,12,0,5,20,,75,Yes,Yes,No,0,2,18,16,20,2,2,4,2,4,3,4,3,3,1,3,4,2,2,7,10,1,2,3,1,2,3,1,2,3,2,3,1,2,1,1,1,1,2,3,3,3,6,1,5,1,6,2,6,1,6,3,1969,Female,2,NA,0,4,NA
Cat and Fiddle Restaurant,Concord,NH,20,,1,,,99,No,Yes,Yes,1,2,12,15,30,2,1,2,1,2,2,2,2,3,1,2,2,1,1,4,5,4,3,2,1,2,2,2,2,2,3,3,2,2,2,2,2,1,2,3,2,3,4,4,7,4,4,6,5,1,6,6,1968,Male,2,NA,1,4,NA
Lord Hardwicke's Pub,Charlottesville,VA,80,0,3,8,1,88,No,No,Yes,0,2,10,18,25,2,1,4,2,2,1,2,4,2,1,1,1,1,1,4,10,4,2,1,1,3,2,2,2,2,2,3,2,1,2,1,2,1,2,3,1,1,6,6,7,4,6,4,3,2,3,2,1972,Female,2,NA,1,4,NA
Olive Garden,Lincoln,NE,20,12,1,3,1,95,No,No,Yes,0,2,,13,5,3,1,4,4,1,1,3,2,2,1,4,1,1,3,6,5,4,2,2,1,3,2,1,3,2,99,2,2,3,1,99,2,1,3,3,1,3,6,1,7,2,7,2,7,1,6,4,1976,Male,2,NA,0,4,NA
Border Cafe,Cambridge,MA,24,0,5,5,5,85,No,Yes,Yes,1,2,20,19,40,1,1,2,3,2,1,2,3,2,1,2,3,2,2,3,3,4,3,2,1,3,3,1,2,3,3,3,2,2,1,1,2,1,2,2,2,3,6,4,6,2,6,3,5,2,6,2,1967,Female,2,NA,1,4,NA
The Keg,Kirkland,WA,16,0,8,7,5,80,No,No,Yes,0,2,30,18,15,3,1,4,4,1,1,1,2,1,1,2,3,1,2,4,3,4,3,1,1,2,3,1,3,2,99,3,2,1,3,1,2,1,3,2,1,2,4,5,5,4,5,3,2,5,5,5,1973,Female,2,NA,1,4,NA
Hops Restaurant,Alexandria,VA,6,0,1,79,5,15,No,No,Yes,0,1,22,18,10,3,1,3,2,1,1,2,3,2,1,4,1,1,2,3,8,3,3,2,1,3,3,2,1,3,2,2,99,99,2,2,3,2,3,3,1,3,7,2,7,2,6,3,7,1,5,3,1966,Male,2,NA,0,4,NA
Jack The Ribber,Tampa,FL,8,12,2,5,5,88,No,Yes,Yes,0,3,15,12,5,4,1,4,3,1,1,1,4,1,1,2,3,1,1,4,6,4,2,1,1,2,3,1,2,2,3,2,2,99,1,99,2,1,2,3,1,3,5,5,7,5,6,3,4,1,6,2,1963,Female,2,NA,1,4,NA
Maggie's Pickle Cafe,Hot Springs,AR,9,0,5,40,5,50,No,Yes,No,0,2,5.15,5,1,4,1,4,2,1,1,3,3,,2,4,3,1,3,2,1,3,3,2,1,3,3,1,2,99,2,3,1,2,2,2,2,3,1,2,3,2,5,1,7,6,7,6,7,1,4,6,1982,Male,2,NA,1,4,NA
Stone Lion Tavern,Chattanooga,TN,30,0,2,12,1,85,No,No,No,1,3,15,15,35,4,1,3,3,1,4,4,1,4,1,2,1,2,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA
cox's,morehead city,NC,14,24,5,30,15,50,No,Yes,Yes,0,2,10,15,25,3,2,3,3,1,2,2,2,3,3,4,3,2,3,3,20,5,3,1,1,3,2,1,2,2,2,3,3,3,3,1,2,1,3,2,1,2,7,1,7,1,6,2,7,1,6,4,1965,Male,2,NA,1,4,NA
Waffle House,Columbia,TN,6,6,1,30,15,54,No,No,Yes,1,3,20,10,25,3,2,3,4,2,1,2,2,2,1,2,1,1,1,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA
