Restaurant,City,State,currentmonths,extramonths,asianproportion,blackproportion,hispanicproportion,whiteproportion,breakfast,lunch,dinner,latenight,busy,averagetotalbill,pcttip,bigtips,comparative_tips,flair,intro,selling,squatt,touch,jokes,repeat,customer_me,draw,smile,thanks,weather,compliment,happy,yearsexperience,effect_sz,Men,Women,Teenagers,Young_Adults,Middle_Aged_Adults,Elderly_Adults,Cash_Customers,Charge_Customers,Smokers,Regulars,First_Timers,Asians,Blacks,Hispanics,Whites,Foreigners,Couples,onetops,kids,Business_People,Extraverted_enthusiastic,Critical_quarrelsome,Dependable_selfdisciplined,Anxious_easily_upset,Open_to_new_experiences_complex,Reserved_quiet,Sympathetic_warm,Disorganized_careless,Calm_emotiolly_stable,Conventiol_uncreative,birth_yr,sex,hair,hair_other,married,race,race_other
NA,NA,NA,,,,,,,No,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA
Tradewinds,Mishawaka,!US,14,100,5,20,15,60,Yes,Yes,Yes,0,2,14,20,80,4,2,2,3,4,3,4,3,3,1,4,2,3,3,6,20,4,2,2,2,99,2,2,3,2,3,3,2,2,2,2,2,2,1,3,1,1,5,6,7,5,2,4,6,7,3,4,1972,Male,1,NA,0,4,NA
Picklefish Downtown,Mobile,AL,8,6,5,30,5,60,No,Yes,Yes,1,1,12,15,20,3,2,2,1,2,2,2,2,2,2,2,2,1,1,5,5,3,3,2,1,1,2,1,3,2,2,3,2,2,1,2,2,1,2,3,2,3,5,3,6,3,7,3,6,1,5,1,1983,Male,,black,0,4,NA
Mexico Tipico Mexican Restaurant,Kennesaw,GA,96,6,5,5,20,70,No,Yes,Yes,0,3,30,10,20,7,1,1,1,1,1,1,3,2,1,1,1,1,2,4,8,3,2,1,1,3,2,1,2,2,3,3,2,2,1,1,2,2,2,1,1,2,1,2,6,4,3,5,4,2,3,4,1980,Female,2,NA,0,4,NA
Your's Truly,Cleveland,OH,11,2,5,70,5,20,Yes,Yes,Yes,0,3,10,12.5,20,2,2,2,2,2,2,3,4,3,3,4,4,3,3,4,1,3,3,2,1,2,3,2,3,2,99,3,2,2,1,2,2,3,3,3,3,2,6,4,7,2,7,6,6,1,7,2,1985,Male,2,NA,0,4,NA
Tia's Tex Mex,Plano,TX,24,0,5,10,15,70,No,Yes,Yes,0,3,12,17,25,3,1,3,2,3,2,2,3,2,1,1,3,1,2,3,8,4,3,1,1,2,3,1,2,3,3,3,2,1,1,2,3,2,3,2,1,3,5,2,7,3,5,4,6,3,4,3,1970,Female,2,NA,1,4,NA
Chi-Chi's,Troy,MI,,36,1,18,1,80,No,Yes,Yes,0,2,20,12,10,3,2,3,2,1,1,2,2,1,2,3,4,1,3,5,4,4,3,1,1,2,3,1,2,3,3,3,2,2,1,99,2,1,2,2,1,3,6,4,4,5,6,2,7,5,3,5,1971,Male,1,NA,1,4,NA
Ruby Tuesday,Mesa,AZ,12,1,1,4,20,75,No,Yes,Yes,0,2,13,18,70,3,1,2,3,1,1,2,2,2,1,2,1,1,2,4,3,4,2,2,1,3,3,1,2,2,3,2,2,2,1,2,2,1,3,2,1,3,5,2,5,4,5,4,4,1,5,5,1983,Male,2,NA,0,4,NA
Jared Coffin House,ntucket,MA,12,0,5,5,5,85,Yes,No,No,0,2,35,18,5,4,1,3,3,1,1,1,3,2,1,2,3,3,2,3,20,4,2,2,1,3,2,1,2,2,2,3,2,1,2,2,2,1,3,3,2,2,3,2,5,1,6,5,5,6,7,2,1959,Male,1,NA,1,4,NA
applebee,new berlin,WI,14,12,0,25,10,65,No,Yes,Yes,0,2,18,15,5,4,2,3,2,1,2,2,2,2,1,3,3,1,2,4,2,4,2,2,1,1,2,1,2,2,2,3,2,99,2,2,2,1,99,2,1,2,5,1,7,2,4,3,5,2,5,3,1985,Male,1,NA,0,4,NA
Big buck brewery and steakhouse,Auburn Hills,MI,5,12,5,10,10,75,No,No,Yes,0,3,25,15,20,4,2,4,4,1,1,2,2,1,3,2,3,2,3,4,5,3,2,2,1,3,2,1,2,2,2,3,2,2,1,1,2,1,3,3,1,2,4,2,6,2,5,5,5,4,6,2,1979,Male,2,NA,1,4,NA
Stake'nShake,Jacksonville,ID,6,6,,1,,99,No,No,Yes,0,4,12,10,30,4,1,3,2,1,1,1,2,2,1,2,2,2,2,3,1,4,3,2,1,3,2,1,2,3,3,3,2,2,2,2,2,1,3,2,3,2,2,3,7,7,2,7,7,1,4,7,1969,Male,3,NA,1,4,NA
Mario's Pizza,Springfield,IL,16,0,2,30,18,50,No,Yes,Yes,0,2,12,17,10,4,2,4,3,2,1,1,3,2,1,3,3,1,3,5,4,2,3,2,1,2,3,1,2,3,99,3,2,,2,1,2,1,3,3,2,3,6,2,5,3,6,2,4,2,6,1,1979,Male,2,NA,1,4,NA
Red Robin,Bellingham,WA,3,9,5,5,20,70,No,Yes,Yes,1,2,20,15,35,2,3,4,3,2,2,2,2,3,3,4,4,2,3,5,2,2,2,2,1,2,3,1,2,1,99,3,2,99,99,99,99,99,3,1,2,2,7,1,6,2,6,3,7,5,5,2,1987,Male,,black,0,4,NA
